Image,Predicted,Actual
"Palm_1_(0, 0).jpg",0,0
"Palm_1_(0, 1).jpg",1,1
"Palm_1_(0, 2).jpg",0,0
"Palm_1_(1, 0).jpg",0,0
"Palm_1_(1, 1).jpg",0,0
"Palm_1_(1, 2).jpg",0,0
"Palm_1_(2, 0).jpg",0,0
"Palm_1_(2, 1).jpg",0,0
"Palm_1_(2, 2).jpg",0,0
"Palm_2_(0, 0).jpg",1,0
"Palm_2_(0, 1).jpg",1,0
"Palm_2_(0, 2).jpg",0,0
"Palm_2_(1, 0).jpg",1,1
"Palm_2_(1, 1).jpg",1,1
"Palm_2_(1, 2).jpg",1,1
"Palm_2_(2, 0).jpg",0,0
"Palm_2_(2, 1).jpg",0,0
"Palm_2_(2, 2).jpg",0,0
"Palm_3_(0, 0).jpg",1,1
"Palm_3_(0, 1).jpg",0,0
"Palm_3_(0, 2).jpg",0,0
"Palm_3_(1, 0).jpg",1,1
"Palm_3_(1, 1).jpg",1,1
"Palm_3_(1, 2).jpg",0,0
"Palm_3_(2, 0).jpg",0,0
"Palm_3_(2, 1).jpg",0,0
"Palm_3_(2, 2).jpg",0,0
"Palm_4_(0, 0).jpg",0,0
"Palm_4_(0, 1).jpg",1,1
"Palm_4_(0, 2).jpg",1,1
"Palm_4_(1, 0).jpg",0,0
"Palm_4_(1, 1).jpg",0,0
"Palm_4_(1, 2).jpg",1,1
"Palm_4_(2, 0).jpg",0,0
"Palm_4_(2, 1).jpg",0,0
"Palm_4_(2, 2).jpg",0,0
"Palm_5_(0, 0).jpg",0,0
"Palm_5_(0, 1).jpg",0,0
"Palm_5_(0, 2).jpg",0,0
"Palm_5_(1, 0).jpg",1,0
"Palm_5_(1, 1).jpg",0,0
"Palm_5_(1, 2).jpg",0,0
"Palm_5_(2, 0).jpg",0,0
"Palm_5_(2, 1).jpg",1,1
"Palm_5_(2, 2).jpg",0,0
"Palm_6_(0, 0).jpg",1,1
"Palm_6_(0, 1).jpg",1,0
"Palm_6_(0, 2).jpg",0,0
"Palm_6_(1, 0).jpg",1,1
"Palm_6_(1, 1).jpg",1,1
"Palm_6_(1, 2).jpg",0,0
"Palm_6_(2, 0).jpg",1,1
"Palm_6_(2, 1).jpg",0,0
"Palm_6_(2, 2).jpg",0,0
"Palm_7_(0, 0).jpg",0,0
"Palm_7_(0, 1).jpg",0,0
"Palm_7_(0, 2).jpg",0,0
"Palm_7_(1, 0).jpg",0,0
"Palm_7_(1, 1).jpg",0,0
"Palm_7_(1, 2).jpg",0,0
"Palm_7_(2, 0).jpg",0,0
"Palm_7_(2, 1).jpg",0,0
"Palm_7_(2, 2).jpg",0,0
"Palm_8_(0, 0).jpg",0,0
"Palm_8_(0, 1).jpg",1,1
"Palm_8_(0, 2).jpg",0,0
"Palm_8_(1, 0).jpg",1,1
"Palm_8_(1, 1).jpg",1,1
"Palm_8_(1, 2).jpg",0,0
"Palm_8_(2, 0).jpg",0,0
"Palm_8_(2, 1).jpg",0,0
"Palm_8_(2, 2).jpg",0,0
"Palm_9_(0, 0).jpg",0,1
"Palm_9_(0, 1).jpg",1,1
"Palm_9_(0, 2).jpg",0,1
"Palm_9_(1, 0).jpg",1,1
"Palm_9_(1, 1).jpg",0,1
"Palm_9_(1, 2).jpg",1,1
"Palm_9_(2, 0).jpg",0,0
"Palm_9_(2, 1).jpg",0,0
"Palm_9_(2, 2).jpg",1,0
"Palm_10_(0, 0).jpg",0,0
"Palm_10_(0, 1).jpg",0,0
"Palm_10_(0, 2).jpg",0,0
"Palm_10_(1, 0).jpg",1,1
"Palm_10_(1, 1).jpg",1,0
"Palm_10_(1, 2).jpg",0,0
"Palm_10_(2, 0).jpg",0,1
"Palm_10_(2, 1).jpg",0,0
"Palm_10_(2, 2).jpg",0,1
"Palm_11_(0, 0).jpg",0,0
"Palm_11_(0, 1).jpg",0,0
"Palm_11_(0, 2).jpg",0,0
"Palm_11_(1, 0).jpg",0,0
"Palm_11_(1, 1).jpg",1,1
"Palm_11_(1, 2).jpg",0,0
"Palm_11_(2, 0).jpg",1,0
"Palm_11_(2, 1).jpg",0,0
"Palm_11_(2, 2).jpg",0,0
"Palm_12_(0, 0).jpg",0,0
"Palm_12_(0, 1).jpg",0,0
"Palm_12_(0, 2).jpg",0,0
"Palm_12_(1, 0).jpg",0,0
"Palm_12_(1, 1).jpg",0,0
"Palm_12_(1, 2).jpg",0,0
"Palm_12_(2, 0).jpg",0,1
"Palm_12_(2, 1).jpg",0,1
"Palm_12_(2, 2).jpg",1,1
"Palm_13_(0, 0).jpg",0,0
"Palm_13_(0, 1).jpg",0,0
"Palm_13_(0, 2).jpg",0,0
"Palm_13_(1, 0).jpg",0,0
"Palm_13_(1, 1).jpg",1,0
"Palm_13_(1, 2).jpg",1,0
"Palm_13_(2, 0).jpg",0,0
"Palm_13_(2, 1).jpg",0,0
"Palm_13_(2, 2).jpg",0,0
"Palm_14_(0, 0).jpg",1,1
"Palm_14_(0, 1).jpg",1,1
"Palm_14_(0, 2).jpg",0,0
"Palm_14_(1, 0).jpg",0,1
"Palm_14_(1, 1).jpg",1,1
"Palm_14_(1, 2).jpg",1,1
"Palm_14_(2, 0).jpg",0,0
"Palm_14_(2, 1).jpg",0,0
"Palm_14_(2, 2).jpg",0,0
"Palm_15_(0, 0).jpg",0,0
"Palm_15_(0, 1).jpg",0,0
"Palm_15_(0, 2).jpg",0,0
"Palm_15_(1, 0).jpg",0,0
"Palm_15_(1, 1).jpg",0,0
"Palm_15_(1, 2).jpg",0,0
"Palm_15_(2, 0).jpg",0,0
"Palm_15_(2, 1).jpg",0,0
"Palm_15_(2, 2).jpg",0,0
"Palm_16_(0, 0).jpg",0,0
"Palm_16_(0, 1).jpg",0,0
"Palm_16_(0, 2).jpg",0,0
"Palm_16_(1, 0).jpg",1,1
"Palm_16_(1, 1).jpg",0,0
"Palm_16_(1, 2).jpg",1,1
"Palm_16_(2, 0).jpg",0,0
"Palm_16_(2, 1).jpg",0,0
"Palm_16_(2, 2).jpg",0,1
"Palm_17_(0, 0).jpg",0,0
"Palm_17_(0, 1).jpg",0,0
"Palm_17_(0, 2).jpg",0,0
"Palm_17_(1, 0).jpg",0,0
"Palm_17_(1, 1).jpg",0,0
"Palm_17_(1, 2).jpg",1,1
"Palm_17_(2, 0).jpg",0,0
"Palm_17_(2, 1).jpg",0,0
"Palm_17_(2, 2).jpg",1,1
"Palm_18_(0, 0).jpg",0,0
"Palm_18_(0, 1).jpg",0,0
"Palm_18_(0, 2).jpg",0,0
"Palm_18_(1, 0).jpg",0,0
"Palm_18_(1, 1).jpg",0,0
"Palm_18_(1, 2).jpg",0,0
"Palm_18_(2, 0).jpg",0,0
"Palm_18_(2, 1).jpg",1,1
"Palm_18_(2, 2).jpg",0,0
"Palm_19_(0, 0).jpg",0,0
"Palm_19_(0, 1).jpg",1,1
"Palm_19_(0, 2).jpg",1,1
"Palm_19_(1, 0).jpg",0,0
