Image,Predicted,Actual
"Cross_893_(0, 0).jpg",0,0
"Cross_893_(0, 1).jpg",1,1
"Cross_893_(0, 2).jpg",0,0
"Cross_893_(1, 0).jpg",0,0
"Cross_893_(1, 1).jpg",1,1
"Cross_893_(1, 2).jpg",1,1
"Cross_893_(2, 0).jpg",1,1
"Cross_893_(2, 1).jpg",0,1
"Cross_893_(2, 2).jpg",0,0
"Cross_894_(0, 0).jpg",0,0
"Cross_894_(0, 1).jpg",0,0
"Cross_894_(0, 2).jpg",0,1
"Cross_894_(1, 0).jpg",0,1
"Cross_894_(1, 1).jpg",0,1
"Cross_894_(1, 2).jpg",1,1
"Cross_894_(2, 0).jpg",0,0
"Cross_894_(2, 1).jpg",0,0
"Cross_894_(2, 2).jpg",0,0
"Cross_895_(0, 0).jpg",0,0
"Cross_895_(0, 1).jpg",0,0
"Cross_895_(0, 2).jpg",0,0
"Cross_895_(1, 0).jpg",0,0
"Cross_895_(1, 1).jpg",0,1
"Cross_895_(1, 2).jpg",0,1
"Cross_895_(2, 0).jpg",0,1
"Cross_895_(2, 1).jpg",1,1
"Cross_895_(2, 2).jpg",0,1
"Cross_896_(0, 0).jpg",0,0
"Cross_896_(0, 1).jpg",0,1
"Cross_896_(0, 2).jpg",1,1
"Cross_896_(1, 0).jpg",0,0
"Cross_896_(1, 1).jpg",0,1
"Cross_896_(1, 2).jpg",0,1
"Cross_896_(2, 0).jpg",0,0
"Cross_896_(2, 1).jpg",0,0
"Cross_896_(2, 2).jpg",0,0
"Cross_897_(0, 0).jpg",0,0
"Cross_897_(0, 1).jpg",0,0
"Cross_897_(0, 2).jpg",0,0
"Cross_897_(1, 0).jpg",0,0
"Cross_897_(1, 1).jpg",0,0
"Cross_897_(1, 2).jpg",0,0
"Cross_897_(2, 0).jpg",0,0
"Cross_897_(2, 1).jpg",1,0
"Cross_897_(2, 2).jpg",0,0
"Cross_898_(0, 0).jpg",0,0
"Cross_898_(0, 1).jpg",1,1
"Cross_898_(0, 2).jpg",0,1
"Cross_898_(1, 0).jpg",0,0
"Cross_898_(1, 1).jpg",1,1
"Cross_898_(1, 2).jpg",1,1
"Cross_898_(2, 0).jpg",0,0
"Cross_898_(2, 1).jpg",0,0
"Cross_898_(2, 2).jpg",0,0
"Cross_899_(0, 0).jpg",0,0
"Cross_899_(0, 1).jpg",0,0
"Cross_899_(0, 2).jpg",0,0
"Cross_899_(1, 0).jpg",0,0
"Cross_899_(1, 1).jpg",0,0
"Cross_899_(1, 2).jpg",0,0
"Cross_899_(2, 0).jpg",1,1
"Cross_899_(2, 1).jpg",1,1
"Cross_899_(2, 2).jpg",1,1
"Cross_900_(0, 0).jpg",0,0
"Cross_900_(0, 1).jpg",0,0
"Cross_900_(0, 2).jpg",0,0
"Cross_900_(1, 0).jpg",1,1
"Cross_900_(1, 1).jpg",1,1
"Cross_900_(1, 2).jpg",1,1
"Cross_900_(2, 0).jpg",0,0
"Cross_900_(2, 1).jpg",0,0
"Cross_900_(2, 2).jpg",0,0
"Cross_901_(0, 0).jpg",0,0
